,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
25,ANA (All Nippon Airways),40,40,40,40,45,40,45,45,40
85,AnadoluJet,30,35,20,30,40,35,40,35,30
86,Andes L?neas A?reas,25,25,15,25,30,30,30,30,30
8,Angara Airlines,35,35,20,,40,35,40,40,35
87,Anguilla Air Services,35,35,25,45,45,45,45,45,25
88,Ariana Afghan Airlines,30,30,20,30,25,20,20,35,15
89,Arik Air,30,25,15,20,25,25,25,20,20
90,Arkia Israel Airlines,30,30,20,25,30,30,35,30,25
91,Aruba Airlines,30,30,15,25,25,25,30,30,20
92,Aserca Airlines (no longer operating),35,30,15,20,30,30,35,30,25
93,Asia Atlantic Airlines,30,30,25,10,25,30,30,30,25
26,Asiana Airlines,40,40,35,40,40,40,40,40,40
94,ASKY Airlines,30,30,15,25,30,30,30,30,30
95,ASL France,30,30,20,30,35,30,35,35,25
96,Astra Airlines,30,30,20,20,35,30,35,35,30
97,ATA Airlines (Iran),25,25,15,15,25,30,30,30,30
27,Atlantic Airways,40,40,30,35,45,40,45,45,40
98,Atlas Air,35,35,25,30,35,35,40,35,35
99,AtlasGlobal [no longer operating],35,35,20,30,35,35,35,35,35
28,Aurigny,40,40,20,40,40,35,45,40,35
100,Aurora,35,35,25,45,40,35,40,40,35
101,Austral L?neas A?reas,35,35,30,35,40,35,40,40,30
29,Austrian Airlines,35,35,30,35,40,35,40,40,35
30,Avianca,40,40,40,35,40,35,40,40,35
102,Avior Airlines,25,25,15,20,25,25,30,25,20
31,Azerbaijan Airlines,40,40,30,35,40,40,45,40,40
103,Azimuth,35,35,20,20,35,35,40,35,30
9,Aztec Airways,40,40,40,,50,40,40,50,45
32,Azul,40,40,40,40,45,40,45,45,40
104,Azur Air,30,30,20,25,35,35,35,35,30
105,Bahamasair,30,30,15,20,25,25,30,30,20
106,Bamboo Airways,35,35,25,30,35,35,40,40,35
33,Bangkok Airways,40,40,25,40,40,40,45,45,40
107,Bassaka Air,40,40,20,45,40,45,40,40,35
108,Batik Air,40,40,35,35,35,35,35,35,30
109,Bayon Airlines,30,30,20,35,35,35,30,35,25
110,Bearskin Airlines,20,20,10,20,30,20,30,35,10
111,Beijing Capital Airlines,35,30,25,30,35,35,40,35,30
112,Bek Air,30,25,15,20,30,35,30,35,25
34,Belavia Belarusian Airlines,35,35,20,30,40,35,40,40,35
113,BH Air,25,30,10,30,25,30,30,30,25
114,Bhutan Airlines,40,40,25,45,40,40,45,40,40
115,Biman Bangladesh Airlines,30,30,25,30,30,35,30,30,30
35,Binter,35,40,30,40,40,40,40,40,40
36,Blue Air,30,30,20,30,35,35,35,35,30
116,Blue Islands Air,35,35,20,30,35,30,35,35,25
117,Blue Panorama Airlines,25,25,20,25,25,25,30,25,25
118,Boliviana de Aviaci?n,35,35,20,35,35,35,35,35,30
119,Borajet [no longer operating],40,40,20,30,40,35,40,35,35
120,Boutique Air,30,35,15,25,30,30,35,35,25
37,BRA (Braathens Regional Airways AB),35,35,20,30,40,35,40,40,35
121,British Airways,35,35,30,30,35,35,40,40,30
122,Brussels Airlines,35,35,25,30,35,35,40,35,30
123,Buddha Air,35,35,20,30,35,35,35,30,25
124,Bulgaria Air,30,30,20,30,35,35,35,35,30
125,Buta Airways,40,40,20,35,35,35,40,35,30
126,Cabo Verde Airlines,30,30,20,25,30,30,30,30,30
127,Calafia Airlines,35,35,20,30,35,35,40,40,25
128,CalmAir International,35,35,20,20,40,25,35,40,30
