,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
454,Saratov/Ivolga [no longer operating],russia,35,9,2,4,1,0,2,
455,SAS,sweden,35,10066,3065,3299,1764,743,1196,
456,SATA - Azores Airlines,portugal,30,1703,356,431,242,208,466,
457,SATENA Colombia,colombia,35,94,27,28,19,6,14,
458,Saudia Airlines,saudi arabia,35,3101,958,830,495,248,570,
459,SaudiGulf Airlines,saudi arabia,35,34,14,7,5,2,6,
460,SCAT Airlines,kazakhstan,25,166,24,33,23,16,70,
461,Scoot,singapore,30,5126,883,1568,913,418,1346,
462,Seaborne Airlines,puerto rico,20,279,42,31,16,26,164,
463,SereneAir,pakistan,35,51,19,10,8,2,12,
464,Sevenair/AeroVIP,portugal,45,9,5,3,0,1,0,
465,Severstal Air Company,russia,40,27,13,9,3,1,1,
466,Shaheen Air International,pakistan,30,34,8,11,5,1,9,
467,Shandong Airlines,china,35,116,20,38,31,17,10,
468,Shanghai Airlines,china,30,278,27,77,98,41,35,
469,Sharp Airlines,australia,45,21,14,6,0,0,1,
470,Shenzhen Airlines,china,35,299,56,107,75,31,30,
471,Shree,nepal,50,2,2,0,0,0,0,
472,Sichuan Airlines,china,35,353,86,135,58,20,54,
473,SilkAir,singapore,35,2011,557,744,423,161,126,
474,Silver Airways, ,20,1334,169,139,97,122,809,
475,Silverstone Air,kenya,35,78,21,19,17,6,15,
476,Simrik Airlines,nepal,25,27,3,5,7,3,9,
477,Singapore Airlines,singapore,45,25301,15030,5970,2327,911,1064,
478,Sky Airline,chile,30,2108,334,534,497,208,535,
479,Sky Angkor Airlines,cambodia,30,7,1,2,2,0,2,
480,Sky Express,greece,25,1918,362,216,110,119,1113,
481,Sky Shuttle,china,35,3,2,0,0,0,1,
482,Skyjet Airlines, ,25,226,24,53,22,17,110,
483,Skymark Airlines, ,40,407,116,181,91,7,12,
484,SkyUp,ukraine,25,582,174,45,27,36,300,
485,Skyway Airlines,costa rica,30,7,2,1,1,0,3,
486,SkyWork Airlines [no longer operating],switzerland,40,130,69,24,8,6,23,
487,Small Planet Airlines [no longer operating,lithuania,30,3389,584,812,474,377,1142,
488,Smartavia,russia,30,522,187,80,56,38,161,
489,SmartWings,czech republic,30,3032,509,768,688,386,681,
490,Solaseed Air, ,40,185,45,87,41,6,6,
491,Solomon Airlines,solomon islands,40,50,11,28,9,1,1,
492,Somon Air,tajikistan,30,36,8,8,8,1,11,
493,Sosa (Aerolineas Sosa),honduras,20,30,2,2,4,1,21,
494,Sounds Air,new zealand,45,59,43,12,1,0,3,
495,South African Airways,south africa,35,4853,1164,1608,991,493,597,
496,Southern Airways Express, ,30,145,68,10,6,10,51,
497,Southwest Airlines, ,45,44333,27024,10657,2942,1307,2404,
498,SpiceJet,india,35,5486,1986,1197,870,386,1048,
499,Spirit Airlines, ,30,24384,6902,3989,2598,1954,8946,
500,Spring Airlines,china,30,346,35,98,84,49,80,
501,Spring Airlines Japan, ,30,154,23,50,41,11,29,
502,SprintAir (Polish airline),poland,25,3,0,1,0,2,0,
503,SriLankan Airlines,sri lanka,35,3435,919,1166,645,287,418,
504,Sriwijaya Air,indonesia,30,732,82,246,197,52,155,
505,St Barth Commuter, ,45,17,15,0,0,1,1,
506,Star Peru,oman,25,190,23,38,47,14,68,
507,Starbow [no longer operating],ghana,35,4,0,3,0,1,0,
508,Starflyer, ,45,251,124,96,23,4,4,
509,Sudan Airways,sudan,30,5,2,0,0,2,1,
510,Sun Air Express, ,35,220,46,79,57,15,23,
511,Sun Country Airlines, ,30,3363,877,562,373,350,1201,
512,Sunclass Airlines,denmark,40,1236,454,477,199,55,51,
513,Sundair,germany,30,262,65,60,23,23,91,
514,SunExpress,turkey,30,2406,380,579,561,281,606,
515,Sunrise Airways,haiti,25,26,4,6,5,1,10,
516,Sunwing Airlines,canada,30,8327,1186,1863,1602,1192,2485,
517,Suparna Airlines,china,45,2,1,1,0,0,0,
518,Surinam Airways,suriname,30,169,26,56,30,13,44,
519,Swiss International Air Lines [SWISS],switzerland,40,14297,5521,4216,1821,1010,1730,
520,Swoop,canada,25,1717,392,317,117,95,797,
521,SyrianAir, ,35,6,1,2,2,1,0,
522,T Way Airlines,korea,35,341,56,130,91,20,44,
523,TAAG Angola Airlines,angola,30,557,60,168,164,73,92,
524,Taban Air, ,30,25,2,4,11,3,5,
525,TAG,guatemala,35,38,10,12,6,3,7,
526,Tailwind Airlines,turkey,30,178,27,44,33,30,44,
527,Tajik Air,tajikistan,35,5,1,3,0,0,1,
528,TAM Airlines Brazil,brazil,40,5497,2088,2264,817,187,141,
529,TAME Vuela Ecuador,ecuador,25,527,55,98,104,83,187,
530,TAP Air Portugal,portugal,30,21441,4618,5971,3205,2018,5632,
531,TAR Aerolineas,mexico,30,268,81,55,20,6,106,
532,TAROM,oman,35,1269,326,388,233,117,206,
533,Thai Airways,thailand,40,15714,6149,5470,2302,865,928,
534,Thai Lion Air,thailand,25,1618,214,376,217,131,680,
535,THAI Smile Airways,thailand,45,6262,3501,1949,429,144,242,
536,Thai Vietjet,thailand,25,55,8,9,11,5,22,
537,Thomas Cook Airlines (UK) [no longer operating], ,35,14449,3750,3745,2898,1718,2338,
538,Thomas Cook Airlines Belgium [no longer operating],belgium,35,169,26,73,34,22,14,
539,Tianjin Airlines,china,35,79,16,30,16,4,13,
540,Tiara Air Aruba,aruba,25,4,0,0,2,2,0,
541,Tibet Airlines,china,35,23,6,10,3,1,3,
542,tigerair australia,australia,30,2862,488,763,375,211,1025,
543,Tigerair Singapore [no longer operating],singapore,35,659,78,274,179,50,78,
544,tigerair taiwan,taiwan,35,751,154,333,161,44,59,
545,Tradewind Aviation, ,45,33,30,1,0,0,2,
546,Trans Air Congo (TAC),congo,20,4,0,0,1,1,2,
547,Trans Guyana,guyana,30,5,1,2,0,1,1,
548,Trans Maldivian, ,40,232,111,49,23,21,28,
549,Transavia,netherlands,35,87099,24283,32030,14245,7302,9275,
550,TransNusa,indonesia,40,10,2,6,1,0,1,
551,Trigana Air Service,indonesia,35,51,5,22,16,4,4,
552,Tropic Air Belize,belize,45,316,229,53,11,5,18,
553,Tropic Ocean Airways, ,50,3,3,0,0,0,0,
554,Trujet,india,25,153,23,28,16,9,77,
555,Tsaradia,madagascar,30,13,2,3,2,2,4,
556,TUI Airlines Netherlands,netherlands,35,2097,471,709,469,222,227,
557,TUI Airways (United Kingdom), ,35,18384,6159,5210,3219,1560,2237,
558,TUI fly Belgium (formerly Jetairfly),belgium,35,4883,1094,1898,929,449,514,
559,TUIfly (Germany),germany,30,3320,457,796,861,474,732,
560,Tunisair,tunisia,25,2627,263,477,442,372,1074,
561,Turkish Airlines,turkey,40,31645,13716,8441,3028,1660,4804,
562,Turkmenistan Airlines,turkmenistan,30,216,52,53,39,19,53,
563,Tus Air,cyprus,25,188,38,35,6,15,94,
564,Twin Jet,france,35,34,11,13,2,2,6,
565,Ukraine International Airlines,ukraine,25,3969,481,787,711,534,1456,
566,Uni Air,taiwan,45,94,48,37,6,1,2,
567,United Airlines, ,30,51940,10928,14018,10631,6652,9714,
568,Ural Airlines,russia,25,3440,584,618,546,473,1219,
569,Urumqi Air,china,35,5,1,2,1,0,1,
570,US-Bangla Airlines,bangladesh,35,127,28,47,31,8,13,
571,Utair,russia,30,1439,291,294,259,147,449,
572,Uzbekistan Airways,uzbekistan,35,730,199,188,176,78,89,
573,Vanilla Air [merged with Peach as of 27.10.2019], ,35,819,131,298,210,65,115,
574,VASCO, ,30,20,4,3,8,2,3,
575,Veca Airlines [no longer operating],el salvador,40,12,4,4,4,0,0,
576,Via Airlines [no longer operating], ,15,226,23,13,7,5,178,
577,Vieques Air Link,puerto rico,40,74,37,15,6,3,13,
578,VietJetAir, ,25,4287,508,868,680,414,1818,
579,Vietnam Airlines, ,40,7762,2376,2919,1390,507,570,
580,Vim Airlines [no longer operating],russia,30,160,19,53,24,26,38,
581,Virgin America (now Alaska Airlines), ,40,2204,1127,519,257,135,166,
582,Virgin Atlantic Airways, ,40,15380,7906,3837,1693,885,1059,
583,Virgin Australia,australia,40,11582,4149,3815,1766,814,1038,
584,Vistara,india,40,2840,1614,678,192,67,290,
585,Viva Aerobus,mexico,25,3808,572,754,574,303,1609,
586,Viva Air (Colombia),colombia,20,2183,201,232,198,141,1412,
587,Viva Air (Peru),peru,15,884,41,56,37,53,697,
588,VLM Airlines [no longer operating],belgium,30,9,1,4,2,0,2,
589,Volaris,mexico,25,6783,1105,1400,1160,650,2471,
590,Volotea,spain,30,16848,4465,4406,1481,1163,5354,
591,Vueling Airlines,spain,25,27521,3547,6284,4589,2816,10292,
592,Wamos Air,spain,25,2369,506,351,367,292,854,
593,Wantaniya Airways [no longer operating],kuwait,10,18,0,1,0,0,17,
594,West Air,china,40,98,39,25,21,4,9,
595,WestJet,canada,35,16117,6483,4336,1995,1048,2256,
596,Wideroe,norway,35,419,140,154,57,16,52,
597,Winair, ,25,173,46,26,12,13,76,
598,Windrose Air,ukraine,40,227,104,65,27,9,22,
599,Wingo,colombia,25,660,109,115,60,45,331,
600,Wings Air,indonesia,25,309,26,59,86,35,103,
601,Wizz Air,hungary,25,18917,2947,4002,2666,1575,7736,
602,WOW air [no longer operating],iceland,30,9081,1912,2114,1245,1024,2786,
603,Xiamen Airlines,china,35,652,179,208,121,46,98,
604,XL Airways [no longer operating],france,25,1974,137,379,410,389,659,
605,Xpressair,indonesia,25,3,0,0,2,0,1,
606,Yakutia Air,russia,30,205,57,36,31,21,60,
607,Yamal Airlines,russia,35,105,29,26,19,6,25,
608,Yanair,ukraine,25,164,24,24,19,11,86,
609,Yemenia,yemen,30,4,1,0,1,2,0,
610,Yeti Airlines,nepal,35,229,80,62,44,15,26,
611,Zagros Airlines, ,35,32,5,11,9,6,1,
612,9 Air,china,25,12,0,1,4,4,3,
