259, FMIAir
260, French bee
261, Frontier Airlines
262, Fuji Dream Airlines
263, Fuzhou Airlines
264, Garuda Indonesia
265, Georgian Airways
266, Germania Airlines [no longer operating]
267, Germanwings [Merged into Eurowings]
268, GLO Airlines (no longer operating)
269, GoAir
270, GOL Airlines
271, Golden Myanmar Airlines
272, Grand China Air
273, Great Dane
274, Groupe Transair
275, Gulf Air
276, Gum Air
277, GX Airlines
278, Hainan Airlines
279, Hawaiian Airlines
280, Hebei Airlines
281, Helvetic Airways
282, Himalaya Airlines
283, HK Express
284, Hong Kong Airlines
285, Hongtu Airlines
286, HOP!
287, Hunnu Air
288, IBC Airways
289, Iberia
290, Iberia Express
291, Iberojet [formerly Evelop]
292, IBEX
293, Icelandair
294, IndiGo
295, InselAir
296, interCaribbean
297, Interjet
298, IrAero
299, Iran Aseman Airlines
300, IranAir
301, Iraqi Airways
302, Island Air [no longer operating]
303, Israir
304, Izhavia
305, Jambojet
306, Japan Airlines (JAL)
307, Jazeera Airways
308, JC Cambodia
309, Jeju Air
310, Jet Airways [no longer operating]
311, Jet2.com
312, JetBlue
313, JETGO
314, JetSmart
315, Jetstar Airways - Australia & New Zealand
316, Jetstar Asia Airways - Singapore
317, Jetstar Japan
318, Jetstar Pacific Airlines - Vietnam
319, Jetways Airlines
320, Kenya [NOT Jet Airways of India]
321, Jin Air
322, Jordan Aviation
323, Joy Air
324, JSX
325, Jubba Airways
326, Juneyao Airlines
327, Kalstar Aviation
328, Kam Air
329, Kan Airlines
330, Kenya Airways
331, Kish Air
332, KLM Royal Dutch Airlines
333, Korean Air
334, KrasAvia
335, Kulula
336, Kunming Airlines
337, Kuwait Airways
338, La Compagnie
339, La Costena
340, LAM Mozambique
341, LAN Airlines (now LATAM Airlines)
342, Lanmei Airlines
343, Lao Airlines
344, Lao Skyway
345, Laser Airlines
346, LATAM Airlines
347, Latin American Wings [no longer operating]
348, Laudamotion
349, LCPeru
350, LEVEL
351, LIAT
352, Libyan Airlines
353, Link Airways
354, Lion Air
355, Loganair
356, Longjiang - LJ Air
357, Loong Air
358, LOT Polish Airlines
359, Lucky Air
360, Lufthansa
361, Luxair
362, Magnicharters
363, Mahan Air
364, Malaysia Airlines
365, Maldivian
366, Malindo Air
367, Mandarin Airlines
368, Mango
369, Mann Yadanarpon Airlines
370, Manta Air
