Adria Airways [no longer operating]
 Advanced Air
 AEGEAN
 Aer Lingus
 Aero Mongolia
 Aeroflot
 Aerogaviota
 Aerolinea de Antioquia
 Aerolineas Argentinas
 Aeromar
 Aeromexico
 Africa World Airlines
 African Express Airways
 Afriqiyah Airways
 Aigle Azur [no longer operating]
 Air Algerie
 Air Antilles
 Air Arabia
 Air Astana
 Air Austral
 Air Bagan
 Air Baltic
 Air Belgium
 air berlin [no longer operating]
 Air Botswana
 Air Burkina
 Air Busan
 Air Cairo
 Air Canada
 Air Canada Rouge
 Air Caraibes
 Air Century
 Air Changan
 Air Chathams
 Air China
 Air Choice One
 Air Corsica
 Air Costa (no longer operating)
 Air Cote d Ivoire
 Air Do
 Air Dolomiti
 Air Europa
 Air Flamenco
 Air France
 Air Greenland
 Air Guilin
 Air Iceland Connect (**this is not Icelandair**)
 Air India
 Air India Express
 Air Italy [no longer operating]
 Air Juan
 AIR KBZ (Air Kanbawza)
 Air Kiribati
 Air Koryo
 Air Kyrgyzstan
 Air Macau
 Air Madagascar
 Air Malta
 Air Manas
 Air Mauritius
 Air Mediterranean
 Air Moldova
 Air Namibia
 Air New Zealand
 Air Niugini
 Air North (Canada)
 Air Nostrum
 Air Panama
 Air Peace
 Air Pegasus (no longer operating)
 Air Rarotonga
 Air Saint Pierre
 Air Senegal
 Air Seoul
 Air Serbia
 Air Seychelles
 Air Tahiti
 Air Tahiti Nui
 Air Transat
 Air Vanuatu
 Air VIA [no longer operating]
 Air Zimbabwe
 AirAsia - AirAsia Berhad (Malaysia)
 AirAsia - AirAsia India
 AirAsia - AirAsia Japan
 AirAsia - AirAsia X Berhad (Malaysia)
 AirAsia - Indonesia AirAsia
 AirAsia - Philippines AirAsia
 AirAsia - Thai AirAsia
 AirAsia - Thai AirAsia X
 Airblue
 Aircalin
 AirKenya Express
 Airlink
 Airnorth (Australia)
 AirSWIFT
 Alaska Airlines
 Alaska Seaplanes
 Alba Star
 Alexandria Airlines
 Alitalia
 Allegiant Air
 Alliance Airlines
 AlMasria Universal
 ALROSA
 Alsie Express
 Amazonas
 American Airlines
 ANA (All Nippon Airways)
 AnadoluJet
 Andes Lineas Aereas
 Angara Airlines
 Anguilla Air Services
 Ariana Afghan Airlines
 Arik Air
 Arkia Israel Airlines
 Aruba Airlines
 Aserca Airlines (no longer operating)
 Asia Atlantic Airlines
 Asiana Airlines
 ASKY Airlines
 ASL France
 Astra Airlines
 ATA Airlines (Iran)
 Atlantic Airways
 Atlas Air
 AtlasGlobal [no longer operating]
 Aurigny
 Aurora
 Austral Lineas Aereas
 Austrian Airlines
 Avianca
 Avior Airlines
 Azerbaijan Airlines
 Azimuth
 Aztec Airways
 Azul
 Azur Air
 Bahamasair
 Bamboo Airways
 Bangkok Airways
 Bassaka Air
 Batik Air
 Bayon Airlines
 Bearskin Airlines
 Beijing Capital Airlines
 Bek Air
